,response,context,context/0,context/1,context/2,context/3,context/4,context/5
1309,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.,En overdose botox.,Datteren derimot. . .,l forrige uke hadde han det bra.,-Ross sa at han var død.,-Gå til dr. Gettleman.,Ross smittet Emma med noe i går.
1310,Han blandet ham vel,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.,En overdose botox.,Datteren derimot. . .,l forrige uke hadde han det bra.,-Ross sa at han var død.,-Gå til dr. Gettleman.
1311,med barnepsykologen.,Han blandet ham vel,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.,En overdose botox.,Datteren derimot. . .,l forrige uke hadde han det bra.,-Ross sa at han var død.
1312,Han hadde grusomme mareritt.,med barnepsykologen.,Han blandet ham vel,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.,En overdose botox.,Datteren derimot. . .,l forrige uke hadde han det bra.
1313,Om hva da?,Han hadde grusomme mareritt.,med barnepsykologen.,Han blandet ham vel,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.,En overdose botox.,Datteren derimot. . .
1314,At jeg ville spise ham.,Om hva da?,Han hadde grusomme mareritt.,med barnepsykologen.,Han blandet ham vel,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.,En overdose botox.
1315,Mike!,At jeg ville spise ham.,Om hva da?,Han hadde grusomme mareritt.,med barnepsykologen.,Han blandet ham vel,Hvorfor sa Ross at han var død?,Da tar jeg Emma med til ham.
1316,Ja.,Mike!,At jeg ville spise ham.,Om hva da?,Han hadde grusomme mareritt.,med barnepsykologen.,Han blandet ham vel,Hvorfor sa Ross at han var død?
1317,Ok.,Ja.,Mike!,At jeg ville spise ham.,Om hva da?,Han hadde grusomme mareritt.,med barnepsykologen.,Han blandet ham vel
1318,Jeg fatter ikke at jeg gjør dette.,Ok.,Ja.,Mike!,At jeg ville spise ham.,Om hva da?,Han hadde grusomme mareritt.,med barnepsykologen.
1319,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.,Ok.,Ja.,Mike!,At jeg ville spise ham.,Om hva da?,Han hadde grusomme mareritt.
1320,et niårig forhold.,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.,Ok.,Ja.,Mike!,At jeg ville spise ham.,Om hva da?
1321,Det går nok bra.,et niårig forhold.,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.,Ok.,Ja.,Mike!,At jeg ville spise ham.
1322,Bare lat som om du er Mike.,Det går nok bra.,et niårig forhold.,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.,Ok.,Ja.,Mike!
1323,-Jeg er Mike.,Bare lat som om du er Mike.,Det går nok bra.,et niårig forhold.,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.,Ok.,Ja.
1324,-Flink gutt.,-Jeg er Mike.,Bare lat som om du er Mike.,Det går nok bra.,et niårig forhold.,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.,Ok.
1325,Her kommer de.,-Flink gutt.,-Jeg er Mike.,Bare lat som om du er Mike.,Det går nok bra.,et niårig forhold.,Jeg har nettopp avsluttet,Jeg fatter ikke at jeg gjør dette.
1326,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.,-Flink gutt.,-Jeg er Mike.,Bare lat som om du er Mike.,Det går nok bra.,et niårig forhold.,Jeg har nettopp avsluttet
1327,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.,-Flink gutt.,-Jeg er Mike.,Bare lat som om du er Mike.,Det går nok bra.,et niårig forhold.
1328,og Joey hverandre?,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.,-Flink gutt.,-Jeg er Mike.,Bare lat som om du er Mike.,Det går nok bra.
1329,Hvordan vi kjenner hverandre?,og Joey hverandre?,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.,-Flink gutt.,-Jeg er Mike.,Bare lat som om du er Mike.
1330,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?,og Joey hverandre?,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.,-Flink gutt.,-Jeg er Mike.
1331,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?,og Joey hverandre?,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.,-Flink gutt.
1332,-Fra skolen.,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?,og Joey hverandre?,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins.",Her kommer de.
1333,-Vi møttes på college.,-Fra skolen.,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?,og Joey hverandre?,Hvordan kjenner du,"Joey, dette er Mary Ellen Jenkins."
1334,"High school, mener jeg.",-Vi møttes på college.,-Fra skolen.,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?,og Joey hverandre?,Hvordan kjenner du
1335,"Dere er gamle kjente, altså.","High school, mener jeg.",-Vi møttes på college.,-Fra skolen.,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?,og Joey hverandre?
1336,-Hva gjør du nå?,"Dere er gamle kjente, altså.","High school, mener jeg.",-Vi møttes på college.,-Fra skolen.,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone,Hvordan vi kjenner hverandre?
1337,-Jeg er advokat.,-Hva gjør du nå?,"Dere er gamle kjente, altså.","High school, mener jeg.",-Vi møttes på college.,-Fra skolen.,for hver gang noen spurte om det. . .,Hadde jeg hatt ei krone
1338,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.,-Hva gjør du nå?,"Dere er gamle kjente, altså.","High school, mener jeg.",-Vi møttes på college.,-Fra skolen.,for hver gang noen spurte om det. . .
1339,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.,-Hva gjør du nå?,"Dere er gamle kjente, altså.","High school, mener jeg.",-Vi møttes på college.,-Fra skolen.
1340,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.,-Hva gjør du nå?,"Dere er gamle kjente, altså.","High school, mener jeg.",-Vi møttes på college.
1341,Det er nå eller aldri.,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.,-Hva gjør du nå?,"Dere er gamle kjente, altså.","High school, mener jeg."
1342,Jeg liker det bedre enn advokat.,Det er nå eller aldri.,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.,-Hva gjør du nå?,"Dere er gamle kjente, altså."
1343,Derfor har jeg ikke,Jeg liker det bedre enn advokat.,Det er nå eller aldri.,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.,-Hva gjør du nå?
1344,presentert ham før.,Derfor har jeg ikke,Jeg liker det bedre enn advokat.,Det er nå eller aldri.,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.,-Jeg er advokat.
1345,-Du trodde at han ennå var advokat.,presentert ham før.,Derfor har jeg ikke,Jeg liker det bedre enn advokat.,Det er nå eller aldri.,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.,-Jeg har nettopp avviklet praksisen.
1346,-Nei da.,-Du trodde at han ennå var advokat.,presentert ham før.,Derfor har jeg ikke,Jeg liker det bedre enn advokat.,Det er nå eller aldri.,Jeg har drømt om å spille piano.,-Hva? Du pleier å fortelle meg slikt.
1347,Du trenger en cocktail.,-Nei da.,-Du trodde at han ennå var advokat.,presentert ham før.,Derfor har jeg ikke,Jeg liker det bedre enn advokat.,Det er nå eller aldri.,Jeg har drømt om å spille piano.
1348,Hei.,Du trenger en cocktail.,-Nei da.,-Du trodde at han ennå var advokat.,presentert ham før.,Derfor har jeg ikke,Jeg liker det bedre enn advokat.,Det er nå eller aldri.
1349,Hva gjør du?,Hei.,Du trenger en cocktail.,-Nei da.,-Du trodde at han ennå var advokat.,presentert ham før.,Derfor har jeg ikke,Jeg liker det bedre enn advokat.
1350,-Ser etter jobb til deg i Tulsa.,Hva gjør du?,Hei.,Du trenger en cocktail.,-Nei da.,-Du trodde at han ennå var advokat.,presentert ham før.,Derfor har jeg ikke
1351,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.,Hva gjør du?,Hei.,Du trenger en cocktail.,-Nei da.,-Du trodde at han ennå var advokat.,presentert ham før.
1352,-En haug med rester.,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.,Hva gjør du?,Hei.,Du trenger en cocktail.,-Nei da.,-Du trodde at han ennå var advokat.
1353,-lngenting?,-En haug med rester.,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.,Hva gjør du?,Hei.,Du trenger en cocktail.,-Nei da.
1354,"Restehaugen"""" er ei grillsjappe.",-lngenting?,-En haug med rester.,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.,Hva gjør du?,Hei.,Du trenger en cocktail.
1355,De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe.",-lngenting?,-En haug med rester.,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.,Hva gjør du?,Hei.
1356,"Rettere sagt,",De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe.",-lngenting?,-En haug med rester.,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.,Hva gjør du?
1357,de trenger noen til å rake i grillen.,"Rettere sagt,",De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe.",-lngenting?,-En haug med rester.,-Så snilt! Finner du noe?,-Ser etter jobb til deg i Tulsa.
1358,Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.,"Rettere sagt,",De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe.",-lngenting?,-En haug med rester.,-Så snilt! Finner du noe?
1359,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.,"Rettere sagt,",De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe.",-lngenting?,-En haug med rester.
1360,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.,"Rettere sagt,",De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe.",-lngenting?
1361,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.,"Rettere sagt,",De er på jakt etter kokk.,"Restehaugen"""" er ei grillsjappe."
1362,Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.,"Rettere sagt,",De er på jakt etter kokk.
1363,"Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.,"Rettere sagt,"
1364,"jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.,de trenger noen til å rake i grillen.
1365,"Rånekafeen""""?","jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig.",Det høres ut som en rånekafé.
1366,"Svineriet""""?","Rånekafeen""""?","jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er,"Rånekafeen"""" har også noe ledig."
1367,Det blir vanskelig,"Svineriet""""?","Rånekafeen""""?","jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.,Det er greit. Jeg kjenner ei som er
1368,å spise kosher i Tulsa.,Det blir vanskelig,"Svineriet""""?","Rånekafeen""""?","jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.,hodejeger for restaurantbransjen.
1369,Nancy?,å spise kosher i Tulsa.,Det blir vanskelig,"Svineriet""""?","Rånekafeen""""?","jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer",Det er snilt av deg å bli med.
1370,Det er Monica Geller.,Nancy?,å spise kosher i Tulsa.,Det blir vanskelig,"Svineriet""""?","Rånekafeen""""?","jeg middag på """"Restehaugen"""" .","Når vi kommer til Tulsa, spanderer"
1371,Jeg har det bra.,Det er Monica Geller.,Nancy?,å spise kosher i Tulsa.,Det blir vanskelig,"Svineriet""""?","Rånekafeen""""?","jeg middag på """"Restehaugen"""" ."
1372,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.,Det er Monica Geller.,Nancy?,å spise kosher i Tulsa.,Det blir vanskelig,"Svineriet""""?","Rånekafeen""""?"
1373,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.,Det er Monica Geller.,Nancy?,å spise kosher i Tulsa.,Det blir vanskelig,"Svineriet""""?"
1374,Fordi jeg elsker ham.,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.,Det er Monica Geller.,Nancy?,å spise kosher i Tulsa.,Det blir vanskelig
1375,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.,Det er Monica Geller.,Nancy?,å spise kosher i Tulsa.
1376,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.,Det er Monica Geller.,Nancy?
1377,Herregud!,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.,Det er Monica Geller.
1378,Spurte han spesielt etter meg?,Herregud!,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.,Jeg har det bra.
1379,Dette er virkelig smigrende.,Spurte han spesielt etter meg?,Herregud!,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.,Min mann er blitt forflyttet.,Jeg ser etter en jobb i Tulsa.
1380,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.,Spurte han spesielt etter meg?,Herregud!,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.,Min mann er blitt forflyttet.
1381,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.,Spurte han spesielt etter meg?,Herregud!,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY.",Fordi jeg elsker ham.
1382,Jeg tar den!,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.,Spurte han spesielt etter meg?,Herregud!,Er Javu på utkikk?,"Nei, jeg vil ikke ha en jobb i NY."
1383,Hei. Rachel Green.,Jeg tar den!,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.,Spurte han spesielt etter meg?,Herregud!,Er Javu på utkikk?
1384,Jeg har en avtale til Emma.,Hei. Rachel Green.,Jeg tar den!,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.,Spurte han spesielt etter meg?,Herregud!
1385,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.,Hei. Rachel Green.,Jeg tar den!,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.,Spurte han spesielt etter meg?
1386,men er snart ledig.,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.,Hei. Rachel Green.,Jeg tar den!,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.,Dette er virkelig smigrende.
1387,Det er nok bare en forkjølelse.,men er snart ledig.,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.,Hei. Rachel Green.,Jeg tar den!,Så si til Javu at. . .,Men jeg skal flytte til Tulsa.
1388,"Takk, doktor.",Det er nok bare en forkjølelse.,men er snart ledig.,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.,Hei. Rachel Green.,Jeg tar den!,Så si til Javu at. . .
1389,-Kjærlighet på pinne?,"Takk, doktor.",Det er nok bare en forkjølelse.,men er snart ledig.,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.,Hei. Rachel Green.,Jeg tar den!
1390,-Trenger du å spørre?,-Kjærlighet på pinne?,"Takk, doktor.",Det er nok bare en forkjølelse.,men er snart ledig.,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.,Hei. Rachel Green.
1391,Han er i live!,-Trenger du å spørre?,-Kjærlighet på pinne?,"Takk, doktor.",Det er nok bare en forkjølelse.,men er snart ledig.,"Dr. Gettleman har en pasient,",Jeg har en avtale til Emma.
1392,Det er rart,Han er i live!,-Trenger du å spørre?,-Kjærlighet på pinne?,"Takk, doktor.",Det er nok bare en forkjølelse.,men er snart ledig.,"Dr. Gettleman har en pasient,"
1393,at jeg aldri har hørt om deg.,Det er rart,Han er i live!,-Trenger du å spørre?,-Kjærlighet på pinne?,"Takk, doktor.",Det er nok bare en forkjølelse.,men er snart ledig.
1394,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.,Det er rart,Han er i live!,-Trenger du å spørre?,-Kjærlighet på pinne?,"Takk, doktor.",Det er nok bare en forkjølelse.
1395,Mike kjørte på min mor.,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.,Det er rart,Han er i live!,-Trenger du å spørre?,-Kjærlighet på pinne?,"Takk, doktor."
1396,-Det gjorde jeg ikke.,Mike kjørte på min mor.,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.,Det er rart,Han er i live!,-Trenger du å spørre?,-Kjærlighet på pinne?
1397,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.,Mike kjørte på min mor.,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.,Det er rart,Han er i live!,-Trenger du å spørre?
1398,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.,Mike kjørte på min mor.,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.,Det er rart,Han er i live!
1399,-Har din mor det bra?,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.,Mike kjørte på min mor.,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.,Det er rart
1400,-Vi prøver å føre en samtale.,-Har din mor det bra?,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.,Mike kjørte på min mor.,Det er fordi vi ble uvenner.,at jeg aldri har hørt om deg.
1401,Du er mye greiere,-Vi prøver å føre en samtale.,-Har din mor det bra?,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.,Mike kjørte på min mor.,Det er fordi vi ble uvenner.
1402,på Days of Our Lives.,Du er mye greiere,-Vi prøver å føre en samtale.,-Har din mor det bra?,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.,Mike kjørte på min mor.
1403,Det er derfor du ser så kjent ut.,på Days of Our Lives.,Du er mye greiere,-Vi prøver å føre en samtale.,-Har din mor det bra?,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.,-Det gjorde jeg ikke.
1404,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.,på Days of Our Lives.,Du er mye greiere,-Vi prøver å føre en samtale.,-Har din mor det bra?,Og nå er vi gode venner igjen.,-Men jeg har tilgitt deg.
1405,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.,på Days of Our Lives.,Du er mye greiere,-Vi prøver å føre en samtale.,-Har din mor det bra?,Og nå er vi gode venner igjen.
1406,som vi hadde på high school.,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.,på Days of Our Lives.,Du er mye greiere,-Vi prøver å føre en samtale.,-Har din mor det bra?
1407,Vi lot som om,som vi hadde på high school.,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.,på Days of Our Lives.,Du er mye greiere,-Vi prøver å føre en samtale.
1408,vi ikke kjente hverandre.,Vi lot som om,som vi hadde på high school.,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.,på Days of Our Lives.,Du er mye greiere
1409,Husker du da jeg dro til deg,vi ikke kjente hverandre.,Vi lot som om,som vi hadde på high school.,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.,på Days of Our Lives.
1410,fordi du ikke spilte med?,Husker du da jeg dro til deg,vi ikke kjente hverandre.,Vi lot som om,som vi hadde på high school.,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?,Det er derfor du ser så kjent ut.
1411,Hvor mange søstre har Joey?,fordi du ikke spilte med?,Husker du da jeg dro til deg,vi ikke kjente hverandre.,Vi lot som om,som vi hadde på high school.,Selvsagt. Mike leker en lek,Kjenner ikke dere hverandre?
1412,Seks.,Hvor mange søstre har Joey?,fordi du ikke spilte med?,Husker du da jeg dro til deg,vi ikke kjente hverandre.,Vi lot som om,som vi hadde på high school.,Selvsagt. Mike leker en lek
1413,Jeg sa sju!,Seks.,Hvor mange søstre har Joey?,fordi du ikke spilte med?,Husker du da jeg dro til deg,vi ikke kjente hverandre.,Vi lot som om,som vi hadde på high school.
1414,Hvorfor er jeg,Jeg sa sju!,Seks.,Hvor mange søstre har Joey?,fordi du ikke spilte med?,Husker du da jeg dro til deg,vi ikke kjente hverandre.,Vi lot som om
1415,på date med en fremmed?,Hvorfor er jeg,Jeg sa sju!,Seks.,Hvor mange søstre har Joey?,fordi du ikke spilte med?,Husker du da jeg dro til deg,vi ikke kjente hverandre.
1416,Jeg glemte hele greia.,på date med en fremmed?,Hvorfor er jeg,Jeg sa sju!,Seks.,Hvor mange søstre har Joey?,fordi du ikke spilte med?,Husker du da jeg dro til deg
1417,Jeg er lei for det.,Jeg glemte hele greia.,på date med en fremmed?,Hvorfor er jeg,Jeg sa sju!,Seks.,Hvor mange søstre har Joey?,fordi du ikke spilte med?
1418,Jeg er også lei for det.,Jeg er lei for det.,Jeg glemte hele greia.,på date med en fremmed?,Hvorfor er jeg,Jeg sa sju!,Seks.,Hvor mange søstre har Joey?
1419,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.,Jeg er lei for det.,Jeg glemte hele greia.,på date med en fremmed?,Hvorfor er jeg,Jeg sa sju!,Seks.
1420,Du er utrolig!,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.,Jeg er lei for det.,Jeg glemte hele greia.,på date med en fremmed?,Hvorfor er jeg,Jeg sa sju!
1421,Jeg fant den perfekte jenta til deg.,Du er utrolig!,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.,Jeg er lei for det.,Jeg glemte hele greia.,på date med en fremmed?,Hvorfor er jeg
1422,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.,Du er utrolig!,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.,Jeg er lei for det.,Jeg glemte hele greia.,på date med en fremmed?
1423,søt og løs på tråden.,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.,Du er utrolig!,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.,Jeg er lei for det.,Jeg glemte hele greia.
1424,Hvem prøver du å lure?,søt og løs på tråden.,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.,Du er utrolig!,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.,Jeg er lei for det.
1425,Og du plukker opp en fyr på gata,Hvem prøver du å lure?,søt og løs på tråden.,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.,Du er utrolig!,Og jeg kjørte ikke på hans mor.,Jeg er også lei for det.
1426,til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata,Hvem prøver du å lure?,søt og løs på tråden.,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.,Du er utrolig!,Og jeg kjørte ikke på hans mor.
1427,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata,Hvem prøver du å lure?,søt og løs på tråden.,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.,Du er utrolig!
1428,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata,Hvem prøver du å lure?,søt og løs på tråden.,"Mary Ellen er glup,",Jeg fant den perfekte jenta til deg.
1429,Mike!,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata,Hvem prøver du å lure?,søt og løs på tråden.,"Mary Ellen er glup,"
1430,-Jeg går nå.,Mike!,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata,Hvem prøver du å lure?,søt og løs på tråden.
1431,-Hyggelig å treffe deg.,-Jeg går nå.,Mike!,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata,Hvem prøver du å lure?
1432,-Går du også?,-Hyggelig å treffe deg.,-Jeg går nå.,Mike!,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.,Og du plukker opp en fyr på gata
1433,-Jeg blir om du vet navnet mitt.,-Går du også?,-Hyggelig å treffe deg.,-Jeg går nå.,Mike!,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,",til meg? Dette er ydmykende.
1434,Ha en fin kveld.,-Jeg blir om du vet navnet mitt.,-Går du også?,-Hyggelig å treffe deg.,-Jeg går nå.,Mike!,kan jeg finne en bedre.,"Beklager. Liker du ham ikke,"
1435,Vi skal dra i morgen.,Ha en fin kveld.,-Jeg blir om du vet navnet mitt.,-Går du også?,-Hyggelig å treffe deg.,-Jeg går nå.,Mike!,kan jeg finne en bedre.
1436,Du har mye å pakke.,Vi skal dra i morgen.,Ha en fin kveld.,-Jeg blir om du vet navnet mitt.,-Går du også?,-Hyggelig å treffe deg.,-Jeg går nå.,Mike!
1437,Kanskje jeg ikke bør bli med.,Du har mye å pakke.,Vi skal dra i morgen.,Ha en fin kveld.,-Jeg blir om du vet navnet mitt.,-Går du også?,-Hyggelig å treffe deg.,-Jeg går nå.
1438,Nancy fortalte om en jobb,Kanskje jeg ikke bør bli med.,Du har mye å pakke.,Vi skal dra i morgen.,Ha en fin kveld.,-Jeg blir om du vet navnet mitt.,-Går du også?,-Hyggelig å treffe deg.
1439,"ved en fin restaurant, Javu.",Nancy fortalte om en jobb,Kanskje jeg ikke bør bli med.,Du har mye å pakke.,Vi skal dra i morgen.,Ha en fin kveld.,-Jeg blir om du vet navnet mitt.,-Går du også?
